"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4XNncEnP3zZBpTlJuepmCX","Don't Forget About Me","spotify:artist:1EpyA68dKpjf7jXmQL88Hy","Noname","spotify:album:3mpA4v2tvEM5aAYtNGnbzD","Room 25","spotify:artist:1EpyA68dKpjf7jXmQL88Hy","Noname","2018-09-14","https://i.scdn.co/image/ab67616d0000b273ce7e6ffdadee072abfeb78a8","1","5","219028","","true","27","spotify:user:rileybrady0","2022-02-28T04:43:17Z"
"spotify:track:2ZWlPOoWh0626oTaHrnl2a","Ivy","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","2","249191","https://p.scdn.co/mp3-preview/45f1db448547c589e840b77dd0f0c1e7f02631d2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","spotify:user:rileybrady0","2022-02-28T21:31:43Z"
"spotify:track:41SwdQIX8Hy2u6fuEDgvWr","10%","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:1U1el3k54VvEUzo3ybLPlM","KAYTRANADA, Kali Uchis","spotify:album:5FQ4sOGqRWUA5wO20AwPcO","BUBBA","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2019-12-13","https://i.scdn.co/image/ab67616d0000b2739b6375bad39943011986c247","1","6","186680","https://p.scdn.co/mp3-preview/dcbb7e724c9e98abd5c8d96aa39f34429c2c256d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:rileybrady0","2022-03-05T02:37:23Z"
"spotify:track:23zOqixUia8E5BVMYHXL0c","Culture","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:6vfR5QRc3xca0KvpG8KZBE","KAYTRANADA, Teedra Moses","spotify:album:5FQ4sOGqRWUA5wO20AwPcO","BUBBA","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2019-12-13","https://i.scdn.co/image/ab67616d0000b2739b6375bad39943011986c247","1","14","248906","https://p.scdn.co/mp3-preview/62056e19f156aede475aa23acb45a6aceadd7792?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:rileybrady0","2022-03-05T02:38:18Z"
"spotify:track:1Mza2sr6tPhy6jjI3HB9fW","Hold Me Down","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","3","231267","https://p.scdn.co/mp3-preview/e6da544205467156c93724dc29adb562ca3c433e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:rileybrady0","2022-03-06T23:46:01Z"
"spotify:track:75cNq6OsRh4v26tVHZEWRX","solivelife","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","Knxwledge","spotify:album:0YePXgGfk39Rd1OWgqFKRS","1988","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","Knxwledge","2020-03-27","https://i.scdn.co/image/ab67616d0000b27339d5d182e08f18df9ca86243","1","10","99690","https://p.scdn.co/mp3-preview/c9135ecb3a0d28e4bcf8295bfe225df58afc99e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:rileybrady0","2022-03-07T20:27:14Z"
"spotify:track:4PBRfiwBQiFkZVZED0ktV7","EL TORO COMBO MEAL (feat. Mavi)","spotify:artist:3A5tHz1SfngyOZM2gItYKu, spotify:artist:1peoXq0RPx7czVoFjloeDQ","Earl Sweatshirt, MAVI","spotify:album:0N0EFoE8csbKxl5lxT1ylm","FEET OF CLAY","spotify:artist:3A5tHz1SfngyOZM2gItYKu","Earl Sweatshirt","2019-11-01","https://i.scdn.co/image/ab67616d0000b2731fab037626d29339dd28b74e","1","5","151860","https://p.scdn.co/mp3-preview/c2ab1c95a74863ce51c89a5c935e99019b02e9d9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:rileybrady0","2022-03-10T02:44:33Z"
"spotify:track:593W4qZOwwdqF6YnimJjL6","Doves In The Wind (feat. Kendrick Lamar)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","SZA, Kendrick Lamar","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","3","266080","https://p.scdn.co/mp3-preview/c8384054be04706c3d9f8699961cca351f0ce1e1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:rileybrady0","2022-03-11T05:17:25Z"
"spotify:track:46CA1H0T1r7u5lDUtVveAh","FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:6CxZzQFUTM6AzgluGwtq5w, spotify:artist:57ZTzIn5GLxNLzWgnTTcHj, spotify:artist:3jk39CGeaaSO3FPKNx1RUx, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Tyler\, The Creator, Charlie Wilson, Chaz Bundick, Syd, Kali Uchis","spotify:album:621OhgnZJ7Pz8iUazct1In","Cherry Bomb","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2015-04-13","https://i.scdn.co/image/ab67616d0000b273e4bf0d3d9e0224a30ca5f665","1","10","401572","https://p.scdn.co/mp3-preview/6f0f998fd1d9478d6c0c3ee6a247f990dc8dffd0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:rileybrady0","2022-03-13T15:38:19Z"
"spotify:track:5RoW3zemRYUL4pHr1sRu3X","Invincible (feat. Daniel Caesar)","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Omar Apollo, Daniel Caesar","spotify:album:0MM5hDVs7QreQVGTi1hkJd","Tamagotchi","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-03-23","https://i.scdn.co/image/ab67616d0000b273f0a917120945470c09f7fe04","1","3","216160","","false","1","spotify:user:rileybrady0","2022-03-26T18:28:29Z"
