CSCI-UA-0201-003,Computer Systems Organization,ONLINE,TR 9:30-10:45AM
CSCI-UA-0202-002,Operating Systems,CIWW 109,TR 12:30-1:45PM
CSCI-UA-0310-001,Basic Algorithms,ONLINE,TR 12:30-1:45PM
CSCI-UA-0310-003,Basic Algorithms,CIWW 109,MW 2:00-3:15PM
CSCI-UA-0474-001,Software Engineering,5WP 101,MW 2:00-3:15PM
CSCI-UA-0479-001,Data Management and Analysis,ONLINE,MW 11:00-12:15PM
